replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/MMD Loss Mean,trainer/MMD Loss Std,trainer/MMD Loss Max,trainer/MMD Loss Min,trainer/Action Divergence Mean,trainer/Action Divergence Std,trainer/Action Divergence Max,trainer/Action Divergence Min,trainer/Raw Action Divergence Mean,trainer/Raw Action Divergence Std,trainer/Raw Action Divergence Max,trainer/Raw Action Divergence Min,trainer/Alpha,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/training (s),time/epoch (s),time/total (s),Epoch
999998,10.153806,10.173235,0,0,0.09436836,0.0032053944,0.0012468926,0.0055784415,-0.0014060568,-0.00011123597,0.0016615465,0.0028121981,-0.0064384714,3.0608618,0.89641786,5.5098147,0.95700556,0.14436835,0.05704426,0.31949797,0.027083963,1.5348294,0.9379803,5.6868243,0.004308551,3.5057516,2.8886654,20.39709,0.005912739,1.0010005235671997,0,0,4997,748,6.68048128342246,0.5153201418343465,9,6,0.612147866212498,0.2224910380943389,1.0160459030925073,0.11625824256302916,4.089442362919588,0.4603888156056955,7.2389853085141525,3.320294425172427,-0.21462077,0.79361194,0.99977106,-0.9996839,748,4.089442362919588,3.9861084799999986,0.014466228999992836,46.084373943,50.084948651999994,55.71970354899999,0
999998,0.048571732,0.053209987,0,0,0.12905058,14.521084,3.239658,23.679033,5.394717,14.515112,3.2374663,23.656523,5.4258094,14.56753,3.2937624,23.654894,5.3550153,0.094085485,0.061320517,0.35259762,0.0076224175,0.3247595,0.40597218,2.5451014,0.0004929205,0.68806034,0.94521105,7.23839,0.0037564053,2.9313390254974365,0,0,9814,771,209.43478260869566,39.72495228000146,346,133,1.1204329617562314,0.4675958512941228,1.9030619512872535,-0.4384628859736222,234.65763377303333,43.28134678831935,373.4751515076352,141.16762305418268,0.27913728,0.36957312,0.94519055,-0.993226,23,234.65763377303333,3.9455430600000057,0.007141978999982257,45.106388038999995,49.05907307799998,104.78240449600001,1
999998,0.24093235,0.2175233,0,0,0.514406,27.993357,5.7492013,46.31297,10.699192,27.991838,5.744103,46.173954,10.806032,28.038296,5.737893,46.188156,10.629762,0.08405626,0.054796603,0.30494237,0.013198905,0.22473572,0.306703,1.9894587,8.433669e-05,0.54059154,0.767933,5.7148805,0.00045851906,15.132309913635254,0,0,14612,781,479.8,35.20738558882213,539,433,3.0753004867192058,0.8232888259178872,5.1888333468083285,1.0057860672429555,1475.5291735278747,116.98879533070469,1657.6596839947963,1311.3366754086662,0.19841944,0.51290756,0.9932868,-0.9999811,10,1475.5291735278747,3.902840377000018,0.010880806000017174,46.92207168500002,50.835792868000055,155.62125168100002,2
999998,3.8788772,3.8520982,0,0,3.286483,40.92684,10.060533,68.78222,12.32306,40.900673,10.059772,68.64485,12.836992,40.65277,10.392211,67.87334,4.2677407,0.07976862,0.055213492,0.30000094,0.007838311,0.2308474,0.34614518,2.4554167,0.000429947,0.49765527,0.72030663,4.774466,0.0019530656,110.63672637939453,0,0,19604,802,237.71428571428572,1.6078040967746794,241,235,1.8965852688964329,0.3354097668816254,2.826601563541055,1.0019028796190865,450.84541249195206,3.36399618850182,458.5602539599399,445.96567779954444,0.19344623,0.45193413,0.99409753,-0.99937004,21,450.84541249195206,6.680444749000003,0.0072466880000092715,45.703605564000014,52.39129700100003,208.01797200700008,3
999998,0.40683916,0.3785952,0,0,33.40803,54.1421,12.410315,82.49842,20.764551,54.12283,12.404942,82.61007,21.147697,54.048958,12.420283,84.7992,21.424812,0.08360748,0.05981739,0.3574466,0.005883623,0.22996569,0.36108282,3.1703725,0.00023609586,0.5514526,0.87165326,6.758732,0.0016499222,996.2140502929688,0,0,24151,807,909.4,94.35168254991534,1000,754,2.2299588764759846,0.536992165411689,4.836626574733599,1.0034062566627941,2027.9246022672608,114.89969152750707,2189.5982923031984,1884.6885756070417,0.16066669,0.49062634,0.99936557,-0.99999803,5,2027.9246022672608,3.9112370610000085,0.006777591000002303,45.297826197999996,49.215840850000006,257.2380790610001,4
999998,0.700145,0.6972744,0,0,282.82724,65.21757,15.92721,105.51875,7.013711,65.20856,15.947041,105.64386,6.49934,64.893555,16.038141,104.60365,4.14145,0.080606125,0.05646411,0.36297634,0.0067956103,0.1948704,0.29367492,2.3091943,0.0004841464,0.50312316,0.83825934,7.4666014,0.0018119579,9260.748046875,0,0,28766,812,923.0,154.0,1000,615,2.3026583029972247,0.5490541751949846,5.5781190341045095,1.0070841179792576,2125.353613666438,228.56295102688827,2355.327370891282,1691.8982897944863,0.14001471,0.48888972,0.99840665,-0.9999998,5,2125.353613666438,3.937942348999968,0.006821144000014101,45.53301059700004,49.477774090000025,306.71925602700014,5
999998,0.51092166,0.53860193,0,0,477.08978,80.25683,18.019913,125.820984,20.65658,80.2963,18.013937,126.25171,21.456572,80.221924,17.976912,126.18689,20.975304,0.07165984,0.054953597,0.34040758,0.008317915,0.15688129,0.21963687,1.9082716,2.2941047e-05,0.42515546,0.77717197,7.364751,0.0007777216,22026.46484375,0,0,33395,819,661.2857142857143,182.57344063277606,1000,442,2.585093559399946,0.4366278803299809,3.6353794644606325,1.0062751193266857,1709.4854409231925,485.73922238490434,2611.558620285583,1128.4822024551638,0.18921673,0.5215651,0.99920136,-0.9999725,7,1709.4854409231925,3.8859883690000174,0.004620441000042774,45.408682967999994,49.299291778000054,356.0212409090002,6
999998,1.2961452,1.371709,0,0,473.19742,90.15608,21.38782,134.50813,19.264336,90.15605,21.423712,135.86916,19.331799,90.14792,21.381836,135.9004,20.00034,0.071483135,0.05057167,0.3771054,0.008572004,0.16500668,0.29710704,2.8248692,0.00011946987,0.395873,0.7051969,8.063421,0.001126489,22026.46484375,0,0,38395,824,1000.0,0.0,1000,1000,2.4972224684833626,0.4085137519637326,3.76988009462247,1.026770386558196,2497.222468483361,34.90774153994576,2558.9110582150483,2460.7210784860526,0.2074707,0.51394916,0.9982216,-0.9999783,5,2497.222468483361,3.94460571999997,0.007476091000000906,45.21240840400003,49.164490215,405.1885729690001,7
999998,2.104187,2.3111742,0,0,765.2943,97.28159,25.87459,154.34023,16.069649,97.4102,25.923973,154.7323,15.924681,97.393456,25.885658,156.22118,17.453264,0.084744304,0.054465607,0.323963,0.009065403,0.21430787,0.28982803,1.7961795,0.0014966226,0.52533954,0.7567733,5.7057667,0.002206987,22026.46484375,0,0,43334,833,548.7777777777778,68.9988369914511,675,438,3.0512771225632873,0.7211183044309543,4.885733061587046,1.0045208929731058,1674.473078704453,260.0722078874178,2089.7164230111543,1217.3352741594158,0.1908957,0.5443651,0.9981427,-0.9999999,9,1674.473078704453,4.033110941000018,0.0068273099999487386,45.38530903900005,49.425247290000016,454.61749502100014,8
999998,4.2964287,4.709738,0,0,557.8767,106.908264,28.788889,173.02527,4.5680037,106.78699,28.755203,173.1262,4.7377524,106.80034,28.776606,170.83542,4.422258,0.07532757,0.049327347,0.29709926,0.007707954,0.2025235,0.30566803,3.0688832,0.00010920087,0.41784793,0.5796076,4.846046,0.0005180629,22026.46484375,0,0,48334,838,1000.0,0.0,1000,1000,2.2599410367592725,0.39063328664805413,3.9269245428105943,1.010071864688761,2259.9410367592727,53.363957795787236,2345.658407743119,2196.9530750811186,0.1624579,0.49931735,0.99719036,-0.99999994,5,2259.9410367592727,3.906750089999946,0.007039861999942332,45.28034979500001,49.194139746999895,503.8142720460001,9
